GrLivArea,OverallQual,TotalBsmtSF
1828.0,9,1822.0
894.0,5,894.0
964.0,5,876.0
1689.0,8,1568.0
1541.0,7,1541.0
1221.0,7,1221.0
1324.0,6,1088.0
1416.0,7,696.0
988.0,4,462.0
1218.0,6,735.0
1656.0,7,746.0
1362.0,6,1362.0
1839.0,6,756.0
1375.0,6,1367.0
1122.0,5,924.0
1432.0,5,1360.0
1456.0,7,728.0
1217.0,7,1188.0
1040.0,5,0.0
1224.0,6,612.0
1774.0,7,952.0
1367.0,5,861.0
1360.0,5,803.0
848.0,6,848.0
2262.0,8,1482.0
1220.0,4,836.0
1414.0,7,1375.0
2058.0,6,735.0
1198.0,6,901.0
1659.0,8,1501.0
1012.0,6,1012.0
3082.0,7,824.0
1812.0,5,360.0
1929.0,7,1057.0
954.0,5,911.0
1838.0,9,1838.0
1640.0,6,1296.0
1148.0,5,1148.0
950.0,5,950.0
1911.0,8,777.0
1635.0,6,1065.0
1316.0,7,1316.0
1442.0,6,1442.0
1078.0,5,1078.0
1120.0,4,1040.0
1419.0,8,408.0
1389.0,7,651.0
1063.0,5,1056.0
1792.0,9,1792.0
1216.0,6,1216.0
1762.0,7,596.0
1959.0,7,847.0
1208.0,6,1208.0
1524.0,5,874.0
1154.0,4,796.0
1048.0,5,0.0
886.0,5,190.0
943.0,5,943.0
1768.0,7,866.0
2599.0,9,1393.0
912.0,5,912.0
882.0,5,0.0
1337.0,6,1405.0
2076.0,10,2076.0
2531.0,8,1318.0
1768.0,5,731.0
1625.0,8,1573.0
2144.0,6,1444.0
2775.0,10,1237.0
1868.0,6,585.0
1525.0,7,1525.0
1571.0,8,1571.0
796.0,5,796.0
2372.0,5,994.0
1472.0,7,384.0
960.0,4,648.0
1838.0,5,732.0
1309.0,6,1040.0
2643.0,9,2153.0
1131.0,5,676.0
1960.0,5,960.0
1144.0,5,1144.0
1056.0,6,1056.0
693.0,4,693.0
1494.0,6,1479.0
1646.0,8,1594.0
864.0,5,864.0
1566.0,8,1566.0
1395.0,6,723.0
1208.0,4,780.0
1513.0,5,939.0
1367.0,6,884.0
955.0,5,955.0
1077.0,3,1007.0
1056.0,5,1056.0
1553.0,7,756.0
1614.0,7,1614.0
2042.0,8,2042.0
1073.0,5,1073.0
1285.0,5,672.0
2117.0,6,1205.0
605.0,4,528.0
1150.0,5,1150.0
1456.0,6,728.0
999.0,7,944.0
1500.0,6,750.0
1336.0,5,1165.0
1593.0,6,839.0
2184.0,9,1104.0
1560.0,7,1560.0
1644.0,5,728.0
630.0,4,630.0
1113.0,6,1143.0
2172.0,7,1063.0
1346.0,4,560.0
2610.0,8,1184.0
1958.0,7,1026.0
1468.0,8,1468.0
1734.0,5,0.0
1200.0,5,768.0
1550.0,7,1092.0
2230.0,4,795.0
1639.0,6,1064.0
864.0,5,864.0
1621.0,7,1208.0
987.0,6,483.0
2519.0,7,1210.0
1365.0,5,765.0
2290.0,8,1128.0
2596.0,9,1249.0
907.0,4,907.0
1456.0,6,855.0
1190.0,5,1106.0
858.0,4,858.0
2223.0,7,2223.0
1005.0,4,1005.0
1895.0,7,712.0
1040.0,5,1040.0
1264.0,5,1268.0
1761.0,7,874.0
1034.0,6,1012.0
1363.0,7,1385.0
1689.0,6,1436.0
2113.0,8,2109.0
1573.0,7,1573.0
2364.0,9,2330.0
2034.0,7,1057.0
1291.0,6,1291.0
858.0,5,858.0
1258.0,6,560.0
438.0,2,290.0
1400.0,6,672.0
954.0,5,920.0
1445.0,6,1127.0
1072.0,6,547.0
1664.0,5,0.0
2134.0,6,844.0
3194.0,8,965.0
1824.0,6,912.0
1756.0,6,872.0
912.0,5,912.0
1509.0,6,1461.0
1608.0,6,976.0
1316.0,6,1316.0
1015.0,5,768.0
1134.0,5,756.0
1636.0,8,1623.0
1320.0,7,660.0
2126.0,5,1013.0
1128.0,5,1120.0
1306.0,5,992.0
1344.0,4,546.0
2554.0,7,718.0
893.0,5,845.0
1933.0,6,894.0
1218.0,6,672.0
1969.0,7,808.0
2090.0,8,1220.0
1484.0,5,1484.0
1656.0,5,1656.0
1224.0,6,818.0
2054.0,6,992.0
854.0,7,832.0
1092.0,4,546.0
1268.0,5,1268.0
1661.0,7,799.0
1668.0,8,1657.0
1493.0,6,1478.0
932.0,6,932.0
1277.0,7,1277.0
1530.0,7,1530.0
1344.0,5,1024.0
860.0,5,840.0
1314.0,7,1314.0
1962.0,7,1391.0
1490.0,7,788.0
848.0,6,848.0
672.0,5,672.0
2340.0,7,1152.0
1656.0,5,660.0
1479.0,7,725.0
1226.0,7,1226.0
2087.0,6,832.0
1158.0,6,1158.0
1154.0,5,1154.0
1724.0,7,880.0
1658.0,6,773.0
1126.0,4,0.0
1393.0,5,816.0
3447.0,8,728.0
987.0,6,483.0
1355.0,5,644.0
2069.0,7,585.0
1501.0,7,744.0
1976.0,8,1976.0
1563.0,8,1563.0
1111.0,7,572.0
1502.0,7,776.0
1733.0,3,0.0
2728.0,9,1848.0
1302.0,5,630.0
1524.0,7,1332.0
1588.0,4,0.0
1125.0,5,1125.0
1200.0,7,600.0
1640.0,6,798.0
2127.0,7,1223.0
972.0,6,972.0
2020.0,8,1128.0
1144.0,5,1144.0
1352.0,5,1062.0
1316.0,5,926.0
1924.0,8,1086.0
1164.0,5,1164.0
952.0,5,952.0
2358.0,8,684.0
1680.0,6,880.0
1912.0,6,482.0
1004.0,6,1004.0
1230.0,4,747.0
1167.0,5,915.0
1301.0,5,1145.0
1453.0,7,1453.0
1601.0,8,1581.0
1588.0,8,1588.0
1095.0,6,588.0
1050.0,5,1050.0
960.0,4,960.0
1456.0,5,810.0
1489.0,6,1489.0
1726.0,7,1726.0
2082.0,7,1362.0
1339.0,7,1309.0
2450.0,8,1284.0
1863.0,7,879.0
768.0,5,768.0
334.0,1,0.0
1136.0,6,1136.0
1337.0,6,1237.0
912.0,5,912.0
1812.0,5,864.0
2192.0,5,720.0
1184.0,5,658.0
1889.0,7,925.0
1327.0,5,1063.0
1422.0,6,1422.0
1632.0,5,1632.0
1630.0,7,1630.0
1526.0,3,1013.0
1040.0,4,0.0
1647.0,6,806.0
1981.0,4,1122.0
1644.0,6,1416.0
2574.0,8,1482.0
1824.0,6,764.0
1350.0,6,1248.0
958.0,6,958.0
1848.0,6,833.0
1620.0,4,1281.0
1167.0,6,1158.0
1487.0,6,735.0
892.0,5,892.0
804.0,5,788.0
1140.0,5,1140.0
1796.0,6,780.0
2030.0,6,848.0
2007.0,10,1017.0
691.0,5,691.0
1590.0,8,768.0
1855.0,6,994.0
1804.0,7,994.0
1768.0,7,884.0
3627.0,10,1930.0
1298.0,6,1298.0
1801.0,7,1501.0
630.0,5,630.0
1103.0,6,1103.0
1178.0,4,859.0
1196.0,4,1196.0
1372.0,7,1372.0
1431.0,6,1099.0
1422.0,7,1422.0
1953.0,6,1580.0
1121.0,4,1121.0
2473.0,8,1143.0
1057.0,5,1057.0
1110.0,5,1097.0
2270.0,8,1152.0
2018.0,9,2002.0
1386.0,6,672.0
1953.0,8,1082.0
1337.0,8,1337.0
2285.0,8,969.0
1718.0,8,1705.0
1086.0,5,1024.0
1555.0,7,1373.0
1902.0,7,1902.0
2514.0,7,1216.0
1224.0,5,1086.0
1054.0,6,1054.0
2612.0,8,1225.0
902.0,5,876.0
2353.0,7,845.0
1392.0,6,689.0
1155.0,5,1109.0
1904.0,5,1208.0
1158.0,6,862.0
1362.0,6,611.0
2291.0,7,975.0
1317.0,4,649.0
1734.0,8,1734.0
1194.0,6,1194.0
1416.0,5,876.0
1383.0,5,1383.0
2002.0,5,1001.0
1496.0,8,1496.0
1604.0,5,984.0
764.0,5,680.0
1732.0,6,741.0
1494.0,7,1494.0
986.0,6,960.0
1145.0,7,1145.0
1484.0,6,742.0
1344.0,6,819.0
1539.0,5,650.0
2504.0,9,1122.0
747.0,4,600.0
2097.0,7,1108.0
4676.0,10,3138.0
1176.0,6,698.0
720.0,4,720.0
1580.0,8,1580.0
1440.0,4,1440.0
1476.0,6,738.0
1500.0,7,1500.0
1348.0,5,884.0
1200.0,5,864.0
1394.0,6,1394.0
1632.0,6,800.0
912.0,5,912.0
2624.0,6,1370.0
1696.0,5,1140.0
1230.0,5,440.0
2727.0,8,853.0
1456.0,6,728.0
864.0,4,864.0
1709.0,6,970.0
1665.0,8,810.0
2646.0,7,1347.0
1640.0,7,798.0
1699.0,3,978.0
1663.0,4,1364.0
1728.0,5,1728.0
1845.0,6,1055.0
1851.0,6,822.0
1489.0,8,1489.0
864.0,6,864.0
1256.0,5,1256.0
816.0,5,816.0
1820.0,7,864.0
2127.0,7,1104.0
1065.0,5,1065.0
1200.0,6,1200.0
1208.0,7,1187.0
2482.0,8,1094.0
1720.0,7,1720.0
840.0,5,672.0
1294.0,6,1278.0
1090.0,5,1090.0
2263.0,8,1141.0
969.0,5,969.0
894.0,3,894.0
1028.0,5,1008.0
1958.0,6,979.0
1795.0,8,1795.0
1940.0,9,1930.0
1178.0,5,1176.0
1482.0,6,672.0
1428.0,7,1417.0
864.0,5,864.0
1111.0,5,616.0
1470.0,6,680.0
1116.0,6,1116.0
864.0,6,864.0
1297.0,5,1297.0
1113.0,5,1113.0
1501.0,7,1490.0
1547.0,7,756.0
1947.0,7,991.0
1717.0,8,1709.0
1052.0,6,1010.0
2013.0,7,1117.0
1266.0,7,1266.0
2868.0,9,1992.0
2256.0,7,952.0
1414.0,7,1414.0
1721.0,6,928.0
1552.0,6,713.0
1128.0,4,698.0
1118.0,6,1096.0
1728.0,6,1728.0
2448.0,8,1629.0
1473.0,5,1437.0
1717.0,7,1156.0
1166.0,7,856.0
1370.0,8,1370.0
1724.0,6,1680.0
1709.0,7,970.0
987.0,6,483.0
1802.0,7,793.0
2345.0,6,952.0
1068.0,6,1059.0
1617.0,6,1604.0
1244.0,6,1244.0
1180.0,4,700.0
1223.0,7,600.0
1686.0,6,1686.0
1646.0,8,1638.0
1144.0,5,864.0
1797.0,7,939.0
1224.0,4,0.0
1865.0,7,992.0
1056.0,5,1056.0
3140.0,9,1926.0
1212.0,6,506.0
1694.0,8,1686.0
1511.0,6,802.0
1057.0,5,1057.0
2290.0,4,777.0
2183.0,7,1204.0
3222.0,7,1673.0
1716.0,7,880.0
1342.0,6,1372.0
1504.0,7,1346.0
1992.0,8,1053.0
1252.0,7,600.0
999.0,5,999.0
1363.0,4,622.0
1165.0,6,1127.0
1668.0,9,1626.0
2376.0,8,1158.0
1440.0,5,540.0
1470.0,6,794.0
1541.0,7,1541.0
1440.0,4,1440.0
1146.0,7,868.0
1494.0,8,1494.0
2224.0,9,1462.0
1343.0,5,731.0
2452.0,8,1028.0
1977.0,6,816.0
1767.0,7,1064.0
1324.0,8,1324.0
1458.0,6,912.0
1314.0,6,1314.0
1575.0,6,1575.0
1620.0,9,1620.0
1788.0,4,1104.0
913.0,6,814.0
2073.0,6,1542.0
1441.0,8,776.0
1690.0,7,815.0
1437.0,5,1188.0
2156.0,7,1568.0
864.0,5,864.0
1112.0,5,536.0
2243.0,7,700.0
1328.0,4,686.0
968.0,4,656.0
1396.0,6,698.0
1856.0,9,1856.0
2161.0,8,1582.0
1602.0,6,1602.0
1302.0,5,630.0
1509.0,6,783.0
912.0,5,912.0
1664.0,6,1004.0
1694.0,6,1181.0
747.0,4,747.0
1040.0,4,0.0
1660.0,7,831.0
1691.0,5,1026.0
864.0,5,864.0
752.0,6,744.0
1792.0,7,963.0
1626.0,7,764.0
1484.0,8,1476.0
3493.0,7,1470.0
1652.0,9,1652.0
1276.0,5,1276.0
1668.0,6,856.0
1192.0,4,720.0
884.0,5,840.0
2062.0,7,1157.0
827.0,5,0.0
2019.0,7,728.0
1304.0,5,264.0
1368.0,6,684.0
1605.0,3,840.0
2020.0,10,2006.0
1250.0,7,625.0
1624.0,8,1624.0
845.0,4,845.0
1389.0,5,1389.0
968.0,5,968.0
1092.0,4,546.0
848.0,6,848.0
1269.0,5,1269.0
1092.0,5,1092.0
2263.0,7,795.0
952.0,4,952.0
1452.0,4,736.0
1039.0,5,1039.0
1204.0,6,1204.0
1117.0,6,1029.0
2196.0,7,2158.0
985.0,5,985.0
1629.0,8,3206.0
1477.0,7,861.0
980.0,5,980.0
2295.0,7,1095.0
1502.0,6,602.0
2201.0,6,697.0
2078.0,8,1034.0
800.0,2,264.0
1578.0,8,1573.0
1932.0,8,1932.0
1507.0,5,1075.0
900.0,5,882.0
1718.0,10,1700.0
1750.0,5,636.0
2398.0,7,1379.0
1968.0,8,774.0
1536.0,7,1536.0
864.0,3,864.0
3228.0,8,3200.0
2149.0,7,1434.0
2640.0,7,1240.0
1682.0,7,1304.0
2098.0,8,1030.0
864.0,5,864.0
1968.0,5,784.0
1097.0,6,1040.0
1196.0,6,684.0
1920.0,5,1052.0
1728.0,5,1728.0
2031.0,8,1128.0
1196.0,6,1196.0
803.0,5,720.0
1620.0,5,780.0
2097.0,8,2077.0
1869.0,9,1869.0
1886.0,7,930.0
480.0,2,480.0
1296.0,4,0.0
816.0,4,816.0
1601.0,7,1271.0
1792.0,6,936.0
2520.0,8,1338.0
1144.0,5,1144.0
2601.0,5,612.0
1577.0,6,972.0
970.0,5,970.0
2036.0,7,2136.0
1026.0,6,1026.0
698.0,5,698.0
1533.0,7,1533.0
1382.0,5,720.0
1391.0,7,1391.0
1078.0,5,1078.0
1296.0,8,1267.0
1442.0,6,1442.0
1964.0,5,940.0
1502.0,7,1502.0
1392.0,6,1392.0
1768.0,4,1768.0
1582.0,5,1624.0
958.0,6,958.0
894.0,5,894.0
1224.0,6,1224.0
2332.0,10,1682.0
1269.0,8,1256.0
1776.0,8,1732.0
1456.0,6,728.0
1194.0,6,655.0
1008.0,5,1008.0
1555.0,7,1373.0
1784.0,5,747.0
1108.0,7,637.0
1394.0,5,384.0
1714.0,7,980.0
882.0,5,0.0
1306.0,3,728.0
1217.0,6,626.0
990.0,5,990.0
2452.0,8,1117.0
848.0,6,848.0
1369.0,6,672.0
1218.0,6,1218.0
2555.0,6,588.0
1247.0,8,1247.0
2872.0,6,1330.0
1652.0,8,1600.0
1844.0,6,1844.0
1971.0,7,1113.0
1800.0,6,982.0
1949.0,7,1050.0
630.0,4,630.0
1494.0,7,1494.0
968.0,3,600.0
1274.0,7,1274.0
1520.0,6,1156.0
1285.0,6,660.0
1509.0,7,783.0
1935.0,7,793.0
816.0,6,816.0
1200.0,7,1176.0
1470.0,4,941.0
1656.0,6,1080.0
792.0,5,768.0
1694.0,8,1694.0
1800.0,8,1800.0
2337.0,5,662.0
1846.0,6,1040.0
1026.0,6,940.0
904.0,5,876.0
1126.0,5,1126.0
2468.0,8,1136.0
988.0,6,938.0
1052.0,5,1052.0
1096.0,6,572.0
1141.0,6,1141.0
1790.0,6,732.0
1852.0,8,1004.0
754.0,6,520.0
1344.0,5,624.0
2207.0,7,1947.0
2358.0,6,907.0
2715.0,8,1142.0
1364.0,7,1364.0
1253.0,7,1237.0
1328.0,6,1328.0
1422.0,5,978.0
1986.0,7,768.0
952.0,6,952.0
1660.0,8,1660.0
2234.0,9,2216.0
790.0,6,768.0
1340.0,7,1340.0
1610.0,6,1610.0
2620.0,5,1361.0
1248.0,7,1248.0
912.0,6,912.0
1638.0,6,943.0
1622.0,4,1249.0
2320.0,6,1028.0
1144.0,5,1144.0
1520.0,5,793.0
1516.0,6,1516.0
1498.0,7,1498.0
1961.0,6,804.0
1456.0,7,728.0
2403.0,7,1032.0
1944.0,9,1896.0
1368.0,7,1368.0
1790.0,7,873.0
2713.0,9,1452.0
1271.0,5,720.0
1872.0,7,1845.0
2090.0,7,1190.0
1796.0,6,794.0
1302.0,7,1302.0
2524.0,8,2524.0
1374.0,4,840.0
1626.0,7,764.0
1034.0,5,735.0
1518.0,8,1518.0
1818.0,7,1040.0
1661.0,7,1649.0
1991.0,6,854.0
1482.0,7,650.0
1742.0,8,1742.0
1250.0,5,686.0
1176.0,6,816.0
1915.0,8,908.0
1595.0,6,940.0
1661.0,6,992.0
1935.0,8,832.0
1795.0,8,1777.0
1928.0,7,847.0
1159.0,5,1051.0
1456.0,6,855.0
1954.0,7,798.0
2028.0,8,1868.0
2898.0,8,1565.0
1674.0,7,814.0
974.0,5,974.0
1989.0,8,1065.0
2097.0,7,1080.0
1442.0,7,1424.0
1130.0,5,1120.0
1820.0,7,1026.0
2119.0,6,689.0
2576.0,8,1234.0
1020.0,5,780.0
1774.0,4,1095.0
904.0,1,683.0
1382.0,7,673.0
3608.0,10,1107.0
2210.0,6,1008.0
1572.0,6,806.0
1824.0,7,1643.0
1056.0,5,1056.0
1221.0,5,784.0
1362.0,6,1362.0
848.0,6,848.0
1434.0,7,1454.0
1208.0,7,1208.0
1466.0,5,796.0
1987.0,8,1986.0
2418.0,7,1311.0
1314.0,7,1314.0
1709.0,7,970.0
1218.0,6,672.0
3395.0,6,1440.0
1200.0,5,1200.0
912.0,5,912.0
4316.0,10,2444.0
1710.0,7,856.0
2374.0,8,1181.0
1564.0,7,704.0
1466.0,5,1466.0
1383.0,6,1383.0
1535.0,5,0.0
990.0,5,990.0
1646.0,7,918.0
1928.0,6,1020.0
1725.0,7,539.0
2872.0,8,1683.0
2112.0,6,952.0
1324.0,4,672.0
1200.0,7,600.0
1344.0,5,672.0
1668.0,7,840.0
1040.0,3,0.0
900.0,5,900.0
1559.0,5,1559.0
948.0,4,864.0
923.0,6,923.0
1552.0,7,1552.0
1717.0,7,756.0
1721.0,5,1461.0
987.0,6,483.0
1200.0,6,1200.0
1716.0,5,768.0
894.0,5,894.0
1771.0,5,0.0
1173.0,7,1053.0
1287.0,5,1063.0
1382.0,4,1051.0
2520.0,7,1203.0
1215.0,6,1215.0
2526.0,8,1165.0
1200.0,7,600.0
1728.0,5,1728.0
1710.0,7,576.0
2392.0,8,1396.0
1744.0,7,996.0
1665.0,7,813.0
2696.0,7,1264.0
864.0,4,864.0
672.0,4,672.0
1320.0,5,1164.0
958.0,6,1078.0
1710.0,7,1710.0
1265.0,5,1219.0
1456.0,8,1273.0
1539.0,5,927.0
1959.0,7,1907.0
1522.0,5,1008.0
1124.0,5,0.0
2090.0,7,1107.0
1214.0,5,1214.0
1779.0,5,1763.0
1629.0,8,1616.0
1554.0,8,1554.0
2236.0,7,964.0
796.0,4,796.0
1680.0,6,840.0
848.0,6,848.0
1142.0,5,1142.0
1252.0,6,1602.0
1684.0,9,1684.0
2000.0,8,2000.0
1616.0,7,1616.0
1872.0,8,1299.0
1576.0,5,1042.0
1982.0,7,807.0
988.0,5,876.0
1844.0,8,1844.0
1258.0,6,1258.0
1288.0,8,1260.0
1634.0,8,1626.0
1322.0,6,855.0
1414.0,8,707.0
1504.0,7,1504.0
1670.0,7,1670.0
2167.0,7,1192.0
1069.0,6,1069.0
1072.0,6,547.0
1572.0,5,1572.0
1869.0,5,1088.0
882.0,4,882.0
1922.0,9,1922.0
780.0,5,780.0
1601.0,5,533.0
1530.0,7,1530.0
833.0,5,833.0
1183.0,3,649.0
1040.0,5,1040.0
2828.0,8,1466.0
1252.0,6,1032.0
1246.0,5,1246.0
904.0,6,884.0
1652.0,5,686.0
1268.0,5,832.0
1913.0,6,896.0
1358.0,7,1358.0
1657.0,6,1657.0
838.0,6,816.0
2060.0,7,992.0
1626.0,7,764.0
1352.0,6,663.0
1376.0,5,768.0
1660.0,6,715.0
1412.0,6,616.0
1469.0,6,756.0
1430.0,7,384.0
1094.0,6,1094.0
1826.0,8,1814.0
924.0,5,672.0
1502.0,8,1488.0
1688.0,6,616.0
1262.0,6,1262.0
1905.0,9,1905.0
2031.0,7,1153.0
1350.0,6,1064.0
1829.0,7,941.0
965.0,5,828.0
924.0,4,672.0
2263.0,8,1055.0
2108.0,6,1127.0
1242.0,7,1242.0
1573.0,4,884.0
2035.0,7,884.0
1232.0,6,1232.0
1964.0,7,803.0
1140.0,4,576.0
894.0,5,894.0
2654.0,6,1054.0
768.0,5,768.0
912.0,4,0.0
2080.0,5,1040.0
1040.0,5,1040.0
1616.0,6,1149.0
1047.0,4,641.0
1803.0,5,1134.0
832.0,6,832.0
894.0,5,894.0
1192.0,5,596.0
1850.0,9,1833.0
899.0,5,864.0
892.0,5,864.0
2291.0,6,1214.0
2138.0,5,849.0
1604.0,6,926.0
2021.0,7,868.0
938.0,5,938.0
1426.0,7,912.0
1920.0,5,928.0
1098.0,5,1098.0
729.0,3,270.0
1252.0,6,1252.0
1584.0,5,1584.0
1506.0,9,1498.0
1709.0,9,1698.0
1092.0,5,1092.0
1746.0,9,1746.0
2287.0,7,1304.0
789.0,5,768.0
1041.0,5,1041.0
1908.0,8,967.0
2267.0,6,1010.0
875.0,5,715.0
1526.0,5,1216.0
1567.0,6,1567.0
2822.0,9,1734.0
1378.0,7,689.0
1738.0,4,715.0
2060.0,6,1151.0
1128.0,5,936.0
1720.0,7,840.0
1050.0,5,1050.0
1114.0,6,1114.0
1053.0,5,1008.0
1593.0,8,1593.0
1214.0,5,1214.0
816.0,5,816.0
1535.0,5,0.0
3112.0,8,1360.0
1919.0,8,1079.0
1097.0,5,1097.0
1750.0,6,983.0
987.0,6,483.0
981.0,6,981.0
1700.0,5,1398.0
816.0,5,816.0
1840.0,7,944.0
2521.0,6,942.0
1002.0,5,1002.0
841.0,4,721.0
996.0,6,936.0
1713.0,8,1713.0
1412.0,6,1392.0
1236.0,6,912.0
1040.0,4,1064.0
1616.0,8,1595.0
1414.0,6,1184.0
1950.0,7,975.0
1086.0,5,1086.0
1576.0,5,1324.0
768.0,5,768.0
1381.0,6,1161.0
2169.0,8,1284.0
720.0,3,0.0
2792.0,6,1510.0
936.0,4,936.0
1181.0,4,1138.0
1689.0,7,1689.0
948.0,4,948.0
1512.0,6,756.0
894.0,5,894.0
1852.0,7,900.0
845.0,4,0.0
774.0,3,544.0
3238.0,8,2033.0
1232.0,7,1232.0
1164.0,7,1164.0
1248.0,5,912.0
1687.0,5,747.0
1960.0,6,860.0
1092.0,4,546.0
894.0,4,894.0
1479.0,7,1453.0
1060.0,5,1060.0
1436.0,7,1436.0
1044.0,5,540.0
1768.0,7,880.0
816.0,6,816.0
1430.0,7,384.0
1867.0,5,1617.0
1500.0,7,1356.0
1100.0,4,1100.0
816.0,5,816.0
1328.0,5,1350.0
2296.0,10,1722.0
864.0,5,864.0
1266.0,7,1257.0
858.0,4,858.0
1710.0,6,832.0
1123.0,4,732.0
1647.0,6,953.0
874.0,5,864.0
1788.0,8,1753.0
1839.0,6,1477.0
1868.0,5,780.0
1712.0,5,1626.0
1229.0,6,561.0
1600.0,8,1566.0
1600.0,6,916.0
1344.0,5,896.0
1126.0,5,1126.0
923.0,5,876.0
616.0,5,616.0
1800.0,5,1800.0
1505.0,6,1505.0
1647.0,5,1430.0
1132.0,4,1132.0
1764.0,6,928.0
1529.0,4,0.0
2447.0,6,804.0
1504.0,7,1346.0
1163.0,3,1162.0
1525.0,6,756.0
935.0,5,935.0
813.0,6,813.0
2008.0,5,896.0
2329.0,7,1475.0
1558.0,5,910.0
1664.0,7,832.0
2110.0,7,2110.0
1786.0,6,824.0
1475.0,5,757.0
1387.0,5,811.0
1708.0,7,976.0
1734.0,6,912.0
2414.0,5,954.0
1908.0,7,915.0
1283.0,5,931.0
1212.0,7,1212.0
1548.0,7,952.0
980.0,5,980.0
1811.0,6,1073.0
1056.0,4,1056.0
1234.0,8,1234.0
1302.0,5,630.0
1406.0,6,319.0
858.0,5,858.0
2324.0,9,1175.0
910.0,5,105.0
1611.0,6,780.0
1560.0,6,684.0
2020.0,5,0.0
1338.0,8,1338.0
1188.0,5,1188.0
1459.0,7,1459.0
2260.0,7,1306.0
1430.0,7,1413.0
996.0,5,996.0
1092.0,6,1092.0
1250.0,7,625.0
1728.0,7,864.0
924.0,5,924.0
1199.0,6,1199.0
948.0,5,948.0
925.0,5,925.0
835.0,5,458.0
2466.0,8,1580.0
2157.0,7,924.0
1060.0,5,1040.0
2633.0,10,2633.0
1048.0,5,993.0
1664.0,6,953.0
784.0,6,784.0
1279.0,6,1196.0
1229.0,4,1134.0
1268.0,5,1268.0
1428.0,7,1428.0
1125.0,6,1041.0
1008.0,5,1008.0
1630.0,8,1622.0
1728.0,6,864.0
1211.0,5,952.0
1040.0,5,1040.0
1707.0,8,1686.0
1632.0,7,935.0
1392.0,5,1392.0
1319.0,5,608.0
1484.0,6,742.0
971.0,5,971.0
1062.0,6,1029.0
980.0,6,945.0
1405.0,7,1405.0
1671.0,6,959.0
1074.0,5,1056.0
2320.0,5,0.0
918.0,6,918.0
1437.0,5,1437.0
1069.0,6,1069.0
1556.0,6,727.0
1894.0,7,817.0
1973.0,8,1935.0
2978.0,7,710.0
848.0,6,848.0
1474.0,7,384.0
1056.0,5,1056.0
902.0,5,864.0
1032.0,6,1032.0
1077.0,5,961.0
1235.0,5,1235.0
1442.0,7,910.0
987.0,6,483.0
1004.0,6,975.0
1006.0,5,1006.0
1716.0,5,780.0
1720.0,7,860.0
960.0,4,960.0
1604.0,7,1604.0
2217.0,8,2217.0
1844.0,6,1844.0
1571.0,6,799.0
1479.0,7,1468.0
1786.0,5,1499.0
1632.0,6,1240.0
1768.0,8,866.0
1096.0,5,1096.0
2093.0,7,791.0
1348.0,6,660.0
1456.0,7,728.0
1600.0,5,1484.0
1700.0,6,1682.0
1593.0,6,808.0
1363.0,5,1008.0
1441.0,6,855.0
1710.0,8,1710.0
2110.0,7,948.0
1479.0,6,725.0
767.0,7,723.0
1496.0,7,654.0
1567.0,8,1520.0
1148.0,5,980.0
1970.0,8,1085.0
2810.0,8,1453.0
2630.0,8,1470.0
2274.0,5,1105.0
1261.0,6,1261.0
1486.0,5,1486.0
773.0,5,773.0
1537.0,6,1319.0
1779.0,7,866.0
1225.0,4,950.0
848.0,6,848.0
1376.0,6,780.0
1471.0,6,729.0
869.0,4,440.0
1458.0,6,729.0
894.0,5,864.0
1718.0,7,832.0
1701.0,5,1390.0
864.0,4,864.0
1855.0,6,528.0
1651.0,6,1606.0
1224.0,6,612.0
928.0,5,928.0
1092.0,4,0.0
1641.0,7,728.0
1416.0,6,708.0
1904.0,8,1058.0
936.0,5,936.0
1556.0,6,716.0
864.0,4,864.0
1654.0,7,1654.0
1416.0,5,816.0
2365.0,8,1252.0
1067.0,4,1067.0
1902.0,6,0.0
1557.0,7,1374.0
1839.0,7,1195.0
